id,generation,first_name,last_name,gender,birth_date,death_date,age,married_year,married_age,personality,clan_name,spouse_id,father_id,mother_id,parent_node_id
0,0,Kirbee,Sibary,F,2/13/1701,1/22/1808,107,1719.0,18.0,ESTP,Blacksteel,,,,-1
1,0,Wadsworth,McMennum,M,3/8/1703,12/12/1793,90,1719.0,16.0,ESFJ,Akira,0.0,,,0
2,1,Kimball,Binnion,M,5/15/1721,3/1/1782,61,1752.0,31.0,ESTJ,Akira,,0.0,1.0,1
3,1,Aimee,Hadleigh,F,12/21/1722,11/3/1790,68,1752.0,30.0,ESFP,Akira,2.0,,,2
4,2,Aloysia,Joule,F,12/7/1752,9/9/1833,81,1795.0,43.0,ISTP,Akira,,2.0,3.0,3
5,2,Fayette,Scawen,F,6/28/1767,11/2/1849,82,1795.0,28.0,ISFJ,Ashenfire,4.0,,,4
6,3,Marcela,Pannaman,F,12/2/1797,2/6/1887,90,1817.0,20.0,ISFJ,Ashenfire,,4.0,5.0,5
7,3,Kurt,Higounet,M,6/22/1778,2/26/1858,80,1817.0,39.0,ENTP,Aoki,6.0,,,6
8,4,Nessie,Seniour,F,11/15/1820,8/3/1909,89,,,ESTP,Aoki,,6.0,7.0,7
9,4,Rubin,Fateley,M,9/5/1831,5/3/1941,110,,,ESTP,Aoki,,6.0,7.0,7
10,4,Annis,Standering,F,10/2/1839,1/6/1931,92,,,ENFP,Aoki,,6.0,7.0,7
11,4,Wallace,Haycox,M,6/26/1851,2/14/1937,86,1892.0,41.0,ESFP,Ashenfire,,6.0,7.0,7
12,4,Ketti,Whyman,F,12/28/1848,6/21/1940,92,1892.0,44.0,ESFJ,Aoki,11.0,,,11
13,5,Aridatha,Tresler,F,3/11/1892,3/17/1980,88,1922.0,30.0,ESFJ,Ashenfire,,11.0,12.0,12
14,5,Julius,Sadry,M,6/18/1891,6/23/1981,90,1922.0,31.0,ESTJ,Aoki,13.0,,,13
15,6,Margaux,Forten,F,7/8/1922,5/10/1980,58,1941.0,19.0,ENTP,Aoki,,13.0,14.0,14
16,6,Jared,Broggelli,M,11/12/1902,8/19/1971,69,1941.0,39.0,ENFP,Ashenmourn,15.0,,,15
17,7,Phip,Gingedale,M,8/2/1941,5/26/2011,70,,,ESTJ,Aoki,,15.0,16.0,16
18,7,Judi,Metterick,F,10/8/1953,1/9/2043,90,1988.0,35.0,ISTP,Ashenmourn,,15.0,16.0,16
19,7,Hadlee,Magnar,M,6/6/1940,1/18/1995,55,1988.0,48.0,ESTP,Ashenmourn,18.0,,,18
20,8,Margret,Piborn,F,12/3/1988,9/8/2069,81,,,ISTJ,Ashenmourn,,18.0,19.0,19
21,8,Sylvan,Havocweaver,M,12/11/1996,8/8/2096,100,,,ESFP,Ashenmourn,,18.0,19.0,19
22,8,Mahala,Haborn,F,8/3/2006,6/3/2114,108,2031.0,25.0,ESFP,Ashenmourn,,18.0,19.0,19
23,8,Gearard,Reinhard,M,2/11/2017,12/22/2125,108,,,ESTP,Ashenmourn,,18.0,19.0,19
27,7,Farley,Spencers,M,8/21/1972,12/5/2060,88,,,ESFJ,Aoki,,15.0,16.0,16
29,5,Effie,Trathen,F,1/18/1901,3/23/2001,100,1934.0,33.0,ESFP,Ashenfire,,11.0,12.0,12
30,5,Jo,Hambling,M,7/18/1895,12/13/1977,82,1934.0,39.0,ISTJ,Akira,29.0,,,29
31,6,Yukiko,Guyton,F,11/12/1934,6/6/2011,77,1961.0,27.0,INFP,Ashenfire,,29.0,30.0,30
32,6,Niall,Yitshak,M,2/13/1934,5/1/2014,80,1961.0,27.0,ESTJ,Blacksteel,31.0,,,31
33,7,Trey,Parzis,M,5/17/1964,11/11/2053,89,,,ESFP,Blacksteel,,31.0,32.0,32
